p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
25,25,20,15,31,25,13,25,25,25
20,19,19,19,19,19,19,19,9,22
21,19,9,10,19,19,20,15,13,15
15,20,9,2,16,16,16,16,14,16
15,14,19,10,13,15,9,14,15,15
15,20,26,4,25,13,22,25,25,25
14,14,16,14,14,13,16,15,14,7
4,19,15,15,15,13,21,16,16,16
19,14,16,14,15,14,19,16,15,20
19,19,19,15,19,19,9,13,20,19
25,25,25,20,22,25,25,27,26,25
19,26,20,20,19,19,15,22,19,20
22,14,13,13,10,15,19,15,19,16
15,14,9,7,14,13,8,9,14,15
14,10,15,13,10,15,8,15,15,13
19,19,20,21,19,19,20,19,19,20
14,13,4,7,7,13,9,10,8,13
8,16,19,19,19,19,19,19,19,16
-1,16,13,9,13,-1,8,19,19,19
19,7,15,13,20,19,16,20,15,19
19,15,19,16,14,19,13,19,13,20
10,14,13,14,13,15,4,15,13,14
31,32,31,31,10,25,31,31,19,22
25,22,25,25,25,15,25,25,25,22
14,14,14,13,13,14,19,4,14,14
25,19,22,15,16,13,7,26,21,14
19,27,22,31,19,21,27,31,31,28
14,9,10,13,9,13,14,13,9,7
15,16,13,19,9,20,19,10,15,21
19,14,20,4,15,21,-1,20,20,19
13,8,13,13,15,16,7,16,7,14
19,14,14,13,7,14,10,15,15,15
10,9,13,9,9,9,9,14,13,1
9,13,13,8,13,4,14,13,9,8
13,14,10,2,13,13,13,13,13,4
15,16,14,14,14,15,19,14,19,14
8,13,7,9,7,8,13,10,8,9
13,14,13,13,8,-1,13,4,13,13
13,7,13,10,13,9,7,7,20,10
14,19,25,19,20,21,21,16,19,20
10,3,8,9,8,15,13,7,8,3
16,33,31,32,33,32,32,28,22,33
25,20,19,27,20,15,21,14,10,25
19,21,16,19,14,19,20,20,19,19
16,10,19,20,20,21,21,10,22,25
21,19,16,19,10,8,19,15,19,20
34,33,33,19,46,46,26,34,34,34
14,15,9,14,15,16,14,15,14,8
20,19,16,19,15,16,8,19,10,19
15,20,9,19,19,19,15,15,-1,13
19,20,20,14,21,16,19,19,19,15
13,7,15,13,13,9,-1,13,13,13
19,16,15,15,10,16,9,13,19,15
15,10,16,16,15,21,15,20,7,14
15,16,15,14,7,7,-1,-1,9,15
