player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,team1Win
Jhin,Lulu,Mordekaiser,Graves,Kassadin,Kai'sa,Janna,Karma,Ekko,Jax,1
Swain,Ashe,Kayn,Yasuo,Camille,Pantheon,Galio,Vladimir,Aphelios,Lux,0
Ashe,Veigar,Thresh,Gnar,LeeSin,Kha'Zix,Jhin,Morgana,LeBlanc,Yorick,0
Tristana,Akali,Yone,Swain,Volibear,Sett,Nidalee,Fiora,Ekko,Vayne,1
Jax,Diana,Mordekaiser,Lulu,Lucian,Lux,Kennen,Ezreal,Kha'Zix,Yasuo,1
Ezreal,Soraka,Malzahar,Illaoi,Kha'Zix,Lulu,Twitch,Nunu,Darius,Fizz,1
Ahri,Ezreal,Nocturne,Shaco,Zyra,Ashe,Lux,Teemo,Veigar,Udyr,0
MissFortune,Wukong,Leona,Warwick,Lux,Morgana,Senna,Malphite,Vi,Annie,0
Nocturne,Kayle,Volibear,Ashe,Senna,Graves,Zyra,Yone,Caitlyn,Shen,1
Senna,Nautilus,Kayn,Irelia,Lucian,Yasuo,Draven,Olaf,Zyra,Malphite,0
Nunu,Tryndamere,Olaf,Senna,Lucian,Vladimir,Yuumi,Ezreal,Volibear,Trundle,1
Zed,Kindred,Teemo,Caitlyn,Blitzcrank,Vladimir,Kayn,Braum,Vayne,Irelia,0
Teemo,Lucian,Volibear,Lux,Senna,Soraka,Sejuani,Twitch,Shen,Akali,1
Caitlyn,Riven,Rengar,Orianna,Brand,Garen,Fizz,Vi,Lulu,Jhin,0
Ezreal,Yasuo,Zyra,XinZhao,Trundle,Ahri,Sett,Evelynn,Sona,Vayne,1
Alistar,Jinx,Garen,Karma,Ekko,Yone,Ashe,Brand,Volibear,Tryndamere,0
Shyvana,Ahri,Garen,Pyke,Draven,Nunu,Neeko,Lulu,Renekton,Kai'sa,1
Caitlyn,Fiddlesticks,Talon,Kayn,Mordekaiser,Pyke,Renekton,Yasuo,Graves,Corki,0
Nautilus,Ashe,Renekton,Ekko,Teemo,Pantheon,Caitlyn,Udyr,Diana,Heimerdinger,1
Yone,Sylas,Zed,Lux,Lucian,Caitlyn,Jayce,Gragas,Thresh,Nunu,0
Bard,Jhin,Karthus,Malzahar,Jax,Caitlyn,Karma,Nasus,Kindred,Ekko,0
Sylas,Tristana,Kindred,Mordekaiser,Malphite,Sona,Ashe,Ornn,Yasuo,Rammus,0
Graves,Urgot,Karma,Caitlyn,Zoe,Sylas,Tristana,Fiddlesticks,Sion,Rakan,1
Shaco,Jinx,Kled,Viktor,Sejuani,Morgana,Rumble,Caitlyn,Yasuo,Zac,1
Sett,Amumu,Neeko,Braum,Yasuo,Lux,Varus,Gragas,Yone,Malphite,0
Kayn,Malphite,Syndra,Bard,Tristana,Blitzcrank,Olaf,Fiddlesticks,Yasuo,Gragas,1
Riven,Morgana,Kha'Zix,Ryze,Ezreal,Nami,Darius,Veigar,LeeSin,Sylas,1
Annie,Garen,Kayn,Draven,Bard,Leona,Fiddlesticks,Urgot,Tristana,Zed,0
Fizz,Yone,Ashe,Lux,Vi,Senna,Jhin,Jayce,Lissandra,Kindred,1
Yone,Ashe,Teemo,Kindred,Sett,Yasuo,Jhin,Rammus,Soraka,Mordekaiser,0
Yone,Yuumi,Volibear,Orianna,Warwick,Nunu,Yasuo,Urgot,Twitch,Morgana,1
Sett,Veigar,Nidalee,LeBlanc,Varus,Ziggs,Senna,Wukong,Amumu,Twitch,1
Kayle,Pyke,Olaf,Tristana,Veigar,Hecarim,Nautilus,Sett,Neeko,Ashe,1
Evelynn,Yasuo,Jhin,Ekko,Malphite,Sett,Kindred,Vi,Lux,Kai'sa,1
Ekko,Pyke,Jhin,Heimerdinger,Master Yi,Morgana,Poppy,Rumble,Evelynn,Varus,1
Soraka,Wukong,Ivern,Draven,Vladimir,Senna,Lux,Lucian,Garen,Rumble,1
Leona,Lillia,Ahri,Ashe,Kindred,Tryndamere,Anivia,Caitlyn,Kayn,Xerath,1
MissFortune,Vel'Koz,Darius,Zed,Ekko,Nami,Jinx,Jax,Yone,Kindred,1
Lux,MissFortune,Malzahar,Kha'Zix,Teemo,Rek'Sai,Nasus,Ezreal,Ekko,Thresh,0
Talon,Yone,Shen,Caitlyn,Ekko,Evelynn,Corki,Jinx,Poppy,Nautilus,0
Garen,Master Yi,Pyke,Sylas,Ashe,Kindred,Sett,Leona,Caitlyn,Malzahar,1
Yuumi,Yorick,Mordekaiser,Ashe,Kindred,Cho'Gath,Ezreal,Kayn,Lux,Sett,0
Vel'Koz,Yasuo,Veigar,Volibear,Jhin,Sett,Kled,Swain,Sona,Orianna,0
Nunu,Lux,Darius,Lucian,Zoe,Thresh,Tristana,Ekko,Sett,Kayn,1
LeeSin,Zyra,Ezreal,Riven,Veigar,Sylas,Rengar,Jinx,Blitzcrank,Fiora,0
Darius,Karthus,Lux,Neeko,Caitlyn,Galio,Jax,Tristana,Nunu,Alistar,0
Syndra,Taric,Yone,Nunu,Shen,Olaf,Kai'sa,Riven,Blitzcrank,TwistedFate,1
Yone,Soraka,JarvanIV,Jhin,Graves,Jax,Senna,Caitlyn,Ekko,Volibear,1
Maokai,Ezreal,Kindred,Yorick,Morgana,Lux,Caitlyn,Kayn,Malphite,Zed,1
Mordekaiser,Kayn,MissFortune,Leona,Yasuo,Azir,Sylas,Dr.Mundo,Aphelios,Nami,1
Kayn,Neeko,Ashe,Lillia,Lux,Ivern,Vayne,Urgot,Yone,Sona,1
Lulu,Senna,Volibear,Yone,Teemo,Nautilus,Jhin,LeBlanc,Amumu,Gangplank,1
Diana,Sion,Ashe,Nunu,Morgana,Yone,Graves,Garen,Vladimir,Sona,1
Tristana,Fiddlesticks,Sylas,Volibear,Sona,Teemo,Morgana,Jhin,Leona,Veigar,1
MissFortune,Soraka,Brand,Amumu,Jax,Maokai,Twitch,Mordekaiser,Lux,Leona,1
Fiddlesticks,Urgot,Yone,Zyra,Lucian,Ahri,Jax,Thresh,Kalista,Wukong,1
Shaco,Ezreal,Morgana,Malphite,Ahri,Vayne,Hecarim,Yasuo,Nasus,Soraka,0
Amumu,Cassiopeia,Illaoi,Aphelios,Nunu,Rengar,Sett,Ashe,Shen,Ahri,0
Nocturne,Vel'Koz,Garen,Kai'sa,Morgana,Cassiopeia,Talon,Dr.Mundo,Caitlyn,Thresh,0
Nami,Lillia,Malphite,Xerath,Jhin,Xayah,Shyvana,Nautilus,Galio,Pantheon,0
Master Yi,Xerath,Nasus,Morgana,MissFortune,Diana,Ashe,Nautilus,Yasuo,Warwick,1
Maokai,Jax,Rek'Sai,Lucian,Twitch,Ekko,Wukong,Vayne,Senna,Galio,0
Jinx,Soraka,Annie,Shaco,Sett,Senna,Tristana,Singed,Vladimir,Ekko,1
Evelynn,Irelia,Vayne,Nautilus,Urgot,Yone,Garen,Kindred,Caitlyn,Soraka,1
Shen,Vladimir,Volibear,Rakan,MissFortune,Talon,Quinn,Zyra,Mordekaiser,Fiddlesticks,0
Cho'Gath,Jinx,Kayn,Thresh,Yone,Kindred,Nautilus,Caitlyn,Volibear,Talon,0
Udyr,Twitch,Zyra,Galio,Renekton,Xerath,Nautilus,Rengar,Jax,Ezreal,1
Annie,Nasus,Jinx,Poppy,Thresh,Brand,Warwick,Gnar,Diana,Ezreal,1
Nami,Ekko,Orianna,Malphite,Lucian,Yasuo,MissFortune,Dr.Mundo,Zilean,Rumble,1
Volibear,Sona,Ashe,Darius,Akali,Xayah,Master Yi,Vayne,Talon,Zyra,0
Blitzcrank,Hecarim,Jhin,Veigar,Urgot,Irelia,Corki,Zac,Xayah,Rakan,1
Yone,Yorick,Udyr,Karma,Ezreal,Swain,Garen,Kassadin,Zac,Kai'sa,1
Malzahar,Hecarim,Varus,Thresh,Mordekaiser,Kindred,Teemo,Kassadin,Pyke,Vayne,1
Caitlyn,Garen,Jax,Blitzcrank,Yuumi,Brand,Tristana,Dr.Mundo,Jinx,Teemo,0
Lucian,Xerath,Maokai,Jhin,Olaf,Ornn,Swain,Nocturne,Ashe,Lux,0
Nunu,Zed,Ashe,Lulu,Irelia,Yone,Yuumi,Tristana,Hecarim,Fizz,0
Neeko,Jax,Akali,Lucian,Yorick,Hecarim,Syndra,Ashe,Nautilus,Teemo,1
Ashe,Ziggs,Sylas,XinZhao,Garen,Jhin,Darius,Lux,Kayn,Thresh,0
Pyke,Malphite,Caitlyn,Jax,Lillia,Fiora,Olaf,Galio,Ezreal,Yuumi,1
Zac,Kai'sa,Malzahar,Sona,Shen,Ahri,Twitch,Nautilus,Mordekaiser,Shyvana,1
Jhin,Jax,Teemo,Lux,Yone,Volibear,Ornn,Ryze,Vayne,Zilean,1
Sett,Graves,Ekko,Irelia,Aphelios,Lux,Teemo,Ezreal,Elise,Zed,0
